prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(1, 2), range=[1:2], left_bound=1, right_bound=2.
18: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3.
19: connectedNodes=(3, 4), range=[3:4], left_bound=3, right_bound=4.
20: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5.
21: connectedNodes=(5, 6), range=[5:6], left_bound=5, right_bound=6.
22: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7.
23: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8.
24: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9.
25: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10.
26: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11.
27: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12.
28: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13.
29: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14.
30: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15.
31: connectedNodes=(0, 17), range=[0:2], left_bound=0, right_bound=2.
32: connectedNodes=(16, 18), range=[0:3], left_bound=0, right_bound=3.
33: connectedNodes=(17, 19), range=[1:4], left_bound=1, right_bound=4.
34: connectedNodes=(18, 20), range=[2:5], left_bound=2, right_bound=5.
35: connectedNodes=(19, 21), range=[3:6], left_bound=3, right_bound=6.
36: connectedNodes=(20, 22), range=[4:7], left_bound=4, right_bound=7.
37: connectedNodes=(21, 23), range=[5:8], left_bound=5, right_bound=8.
38: connectedNodes=(22, 24), range=[6:9], left_bound=6, right_bound=9.
39: connectedNodes=(23, 25), range=[7:10], left_bound=7, right_bound=10.
40: connectedNodes=(24, 26), range=[8:11], left_bound=8, right_bound=11.
41: connectedNodes=(25, 27), range=[9:12], left_bound=9, right_bound=12.
42: connectedNodes=(26, 28), range=[10:13], left_bound=10, right_bound=13.
43: connectedNodes=(27, 29), range=[11:14], left_bound=11, right_bound=14.
44: connectedNodes=(28, 30), range=[12:15], left_bound=12, right_bound=15.
45: connectedNodes=(0, 33), range=[0:4], left_bound=0, right_bound=4.
46: connectedNodes=(16, 34), range=[0:5], left_bound=0, right_bound=5.
47: connectedNodes=(31, 35), range=[0:6], left_bound=0, right_bound=6.
48: connectedNodes=(32, 36), range=[0:7], left_bound=0, right_bound=7.
49: connectedNodes=(33, 37), range=[1:8], left_bound=1, right_bound=8.
50: connectedNodes=(34, 38), range=[2:9], left_bound=2, right_bound=9.
51: connectedNodes=(35, 39), range=[3:10], left_bound=3, right_bound=10.
52: connectedNodes=(36, 40), range=[4:11], left_bound=4, right_bound=11.
53: connectedNodes=(37, 41), range=[5:12], left_bound=5, right_bound=12.
54: connectedNodes=(38, 42), range=[6:13], left_bound=6, right_bound=13.
55: connectedNodes=(39, 43), range=[7:14], left_bound=7, right_bound=14.
56: connectedNodes=(40, 44), range=[8:15], left_bound=8, right_bound=15.
57: connectedNodes=(0, 49), range=[0:8], left_bound=0, right_bound=8.
58: connectedNodes=(16, 50), range=[0:9], left_bound=0, right_bound=9.
59: connectedNodes=(31, 51), range=[0:10], left_bound=0, right_bound=10.
60: connectedNodes=(32, 52), range=[0:11], left_bound=0, right_bound=11.
61: connectedNodes=(45, 53), range=[0:12], left_bound=0, right_bound=12.
62: connectedNodes=(46, 54), range=[0:13], left_bound=0, right_bound=13.
63: connectedNodes=(47, 55), range=[0:14], left_bound=0, right_bound=14.
64: connectedNodes=(48, 56), range=[0:15], left_bound=0, right_bound=15.
area:
65
delay:
4

prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1.
17: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2.
18: connectedNodes=(17, 3), range=[0:3], left_bound=0, right_bound=3.
19: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4.
20: connectedNodes=(19, 5), range=[0:5], left_bound=0, right_bound=5.
21: connectedNodes=(20, 6), range=[0:6], left_bound=0, right_bound=6.
22: connectedNodes=(21, 7), range=[0:7], left_bound=0, right_bound=7.
23: connectedNodes=(22, 8), range=[0:8], left_bound=0, right_bound=8.
24: connectedNodes=(23, 9), range=[0:9], left_bound=0, right_bound=9.
25: connectedNodes=(24, 10), range=[0:10], left_bound=0, right_bound=10.
26: connectedNodes=(25, 11), range=[0:11], left_bound=0, right_bound=11.
27: connectedNodes=(26, 12), range=[0:12], left_bound=0, right_bound=12.
28: connectedNodes=(27, 13), range=[0:13], left_bound=0, right_bound=13.
