The following are some prefix circuits under level bound 7 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
18: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3, level=3.
19: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4, level=4.
20: connectedNodes=(19, 5), range=[0:5], left_bound=0, right_bound=5, level=5.
21: connectedNodes=(20, 6), range=[0:6], left_bound=0, right_bound=6, level=6.
22: connectedNodes=(21, 7), range=[0:7], left_bound=0, right_bound=7, level=7.
23: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
24: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
25: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
26: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15, level=2.
27: connectedNodes=(23, 24), range=[8:11], left_bound=8, right_bound=11, level=3.
28: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
29: connectedNodes=(27, 25), range=[8:13], left_bound=8, right_bound=13, level=4.
30: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8, level=2.
31: connectedNodes=(30, 9), range=[7:9], left_bound=7, right_bound=9, level=3.
32: connectedNodes=(21, 31), range=[0:9], left_bound=0, right_bound=9, level=7.
33: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
34: connectedNodes=(33, 8), range=[6:8], left_bound=6, right_bound=8, level=3.
35: connectedNodes=(34, 9), range=[6:9], left_bound=6, right_bound=9, level=4.
36: connectedNodes=(35, 10), range=[6:10], left_bound=6, right_bound=10, level=5.
37: connectedNodes=(20, 36), range=[0:10], left_bound=0, right_bound=10, level=6.
38: connectedNodes=(37, 11), range=[0:11], left_bound=0, right_bound=11, level=7.
39: connectedNodes=(24, 25), range=[10:13], left_bound=10, right_bound=13, level=3.
40: connectedNodes=(31, 39), range=[7:13], left_bound=7, right_bound=13, level=4.
41: connectedNodes=(21, 40), range=[0:13], left_bound=0, right_bound=13, level=7.
42: connectedNodes=(21, 30), range=[0:8], left_bound=0, right_bound=8, level=7.
43: connectedNodes=(24, 12), range=[10:12], left_bound=10, right_bound=12, level=3.
44: connectedNodes=(9, 43), range=[9:12], left_bound=9, right_bound=12, level=4.
45: connectedNodes=(31, 43), range=[7:12], left_bound=7, right_bound=12, level=4.
46: connectedNodes=(21, 45), range=[0:12], left_bound=0, right_bound=12, level=7.
47: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
48: connectedNodes=(25, 14), range=[12:14], left_bound=12, right_bound=14, level=3.
49: connectedNodes=(27, 48), range=[8:14], left_bound=8, right_bound=14, level=4.
50: connectedNodes=(11, 48), range=[11:14], left_bound=11, right_bound=14, level=4.
51: connectedNodes=(37, 50), range=[0:14], left_bound=0, right_bound=14, level=7.
52: connectedNodes=(50, 15), range=[11:15], left_bound=11, right_bound=15, level=5.
53: connectedNodes=(37, 52), range=[0:15], left_bound=0, right_bound=15, level=7.
area:
54
