# Use 4 iterations and 339.8715s to generate a full prefix circuitThe following are some prefix circuits under level bound 9 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(None, None), range=[16:16], left_bound=16, right_bound=16, level=1.
17: connectedNodes=(None, None), range=[17:17], left_bound=17, right_bound=17, level=1.
18: connectedNodes=(None, None), range=[18:18], left_bound=18, right_bound=18, level=1.
19: connectedNodes=(None, None), range=[19:19], left_bound=19, right_bound=19, level=1.
20: connectedNodes=(None, None), range=[20:20], left_bound=20, right_bound=20, level=1.
21: connectedNodes=(None, None), range=[21:21], left_bound=21, right_bound=21, level=1.
22: connectedNodes=(None, None), range=[22:22], left_bound=22, right_bound=22, level=1.
